source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
1325,1501,2.000000,0.029561,0.059121,True,0.060076,0.000955,6.000000,7.000000,8862049.331932,18010404.504585,3.455290
1214,814,1.250000,0.085112,0.106390,True,0.105704,-0.000686,13.000000,14.000000,25515890.875943,31689331.284906,7.170381
1214,814,1.500000,0.085112,0.127668,True,0.105704,-0.021964,13.000000,14.000000,25515890.875943,31689331.284906,7.390639
1214,814,2.000000,0.085112,0.170224,True,0.105704,-0.064519,13.000000,14.000000,25515890.875943,31689331.284906,7.142494
1271,461,1.250000,0.140688,0.175860,True,0.174866,-0.000993,13.000000,33.000000,42177082.360971,52423600.509827,4.738086
1271,461,1.500000,0.140688,0.211031,True,0.184920,-0.026112,15.000000,33.000000,42177082.360971,55437518.661602,4.680231
1271,461,2.000000,0.140688,0.281375,True,0.184920,-0.096456,15.000000,33.000000,42177082.360971,55437518.661602,4.688131
1425,1432,1.250000,0.050393,0.062991,True,0.062877,-0.000114,8.000000,5.000000,15107435.611868,18850137.780745,7.356047
1425,1432,1.500000,0.050393,0.075589,True,0.075650,0.000060,8.000000,7.000000,15107435.611868,22679272.983285,6.942026
1425,1432,2.000000,0.050393,0.100786,True,0.080504,-0.020282,15.000000,2.000000,15107435.611868,24134419.114111,7.014150
1495,946,1.250000,0.085038,0.106297,True,0.105821,-0.000476,25.000000,3.000000,25493751.021751,31724444.783671,6.046470
1495,946,1.500000,0.085038,0.127557,True,0.123067,-0.004490,23.000000,9.000000,25493751.021751,36894699.239261,6.224671
1495,946,2.000000,0.085038,0.170076,True,0.123067,-0.047009,23.000000,9.000000,25493751.021751,36894699.239261,6.328707
1476,630,1.250000,0.172367,0.215459,True,0.202602,-0.012857,33.000000,15.000000,51674352.052199,60738565.357895,4.331382
1476,630,1.500000,0.172367,0.258551,True,0.202602,-0.055949,33.000000,15.000000,51674352.052199,60738565.357895,4.343631
1476,630,2.000000,0.172367,0.344734,True,0.202602,-0.142132,33.000000,15.000000,51674352.052199,60738565.357895,4.375736
1520,999,1.250000,0.127417,0.159271,True,0.156415,-0.002856,33.000000,5.000000,38198540.727952,46891891.323442,7.489034
1520,999,1.500000,0.127417,0.191125,True,0.156415,-0.034710,33.000000,5.000000,38198540.727952,46891891.323442,7.273345
1520,999,2.000000,0.127417,0.254833,True,0.156415,-0.098419,33.000000,5.000000,38198540.727952,46891891.323442,7.136468
1320,887,1.250000,0.111376,0.139220,True,0.140786,0.001566,27.000000,7.000000,33389685.203485,42206436.296233,5.583878
1320,887,1.500000,0.111376,0.167064,True,0.167394,0.000330,30.000000,10.000000,33389685.203485,50183485.092303,5.576513
1320,887,2.000000,0.111376,0.222752,True,0.176121,-0.046631,28.000000,12.000000,33389685.203485,52799730.317654,5.543023
384,516,1.250000,0.019788,0.024735,True,0.043668,0.018933,9.000000,0.000000,5932278.458898,13091261.161876,6.862631
384,516,1.500000,0.019788,0.029682,True,0.043668,0.013986,9.000000,0.000000,5932278.458898,13091261.161876,7.431935
384,516,2.000000,0.019788,0.039576,True,0.043668,0.004092,9.000000,0.000000,5932278.458898,13091261.161876,7.452005
379,414,1.250000,0.061130,0.076413,True,0.077346,0.000933,4.000000,9.000000,18326413.587722,23187705.854840,5.552755
379,414,1.500000,0.061130,0.091696,True,0.091582,-0.000113,6.000000,11.000000,18326413.587722,27455715.919144,5.558512
